flow_id,timestamp,datapath_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,icmp_code,icmp_type 
0000000000000001 2 10.0.0.3 45016 10.0.0.7 5201,1599138987,0000000000000001,10.0.0.3,45016,10.0.0.7,5201,6,-1,-1
0000000000000002 1 10.0.0.3 45016 10.0.0.7 5201,1599138987,0000000000000002,10.0.0.3,45016,10.0.0.7,5201,6,-1,-1
0000000000000002 2 10.0.0.7 5201 10.0.0.3 45016,1599138987,0000000000000002,10.0.0.7,5201,10.0.0.3,45016,6,-1,-1
0000000000000001 6 10.0.0.7 5201 10.0.0.3 45016,1599138987,0000000000000001,10.0.0.7,5201,10.0.0.3,45016,6,-1,-1
0000000000000001 1 10.0.0.2 38664 10.0.0.7 5201,1599138987,0000000000000001,10.0.0.2,38664,10.0.0.7,5201,6,-1,-1
0000000000000002 1 10.0.0.2 38664 10.0.0.7 5201,1599138987,0000000000000002,10.0.0.2,38664,10.0.0.7,5201,6,-1,-1
0000000000000002 2 10.0.0.7 5201 10.0.0.2 38664,1599138987,0000000000000002,10.0.0.7,5201,10.0.0.2,38664,6,-1,-1
0000000000000001 6 10.0.0.7 5201 10.0.0.2 38664,1599138987,0000000000000001,10.0.0.7,5201,10.0.0.2,38664,6,-1,-1
0000000000000001 3 10.0.0.4 39780 10.0.0.7 5201,1599138987,0000000000000001,10.0.0.4,39780,10.0.0.7,5201,6,-1,-1
0000000000000002 1 10.0.0.4 39780 10.0.0.7 5201,1599138987,0000000000000002,10.0.0.4,39780,10.0.0.7,5201,6,-1,-1
0000000000000002 2 10.0.0.7 5201 10.0.0.4 39780,1599138987,0000000000000002,10.0.0.7,5201,10.0.0.4,39780,6,-1,-1
0000000000000001 6 10.0.0.7 5201 10.0.0.4 39780,1599138987,0000000000000001,10.0.0.7,5201,10.0.0.4,39780,6,-1,-1
0000000000000001 2 10.0.0.3 45024 10.0.0.7 5201,1599139007,0000000000000001,10.0.0.3,45024,10.0.0.7,5201,6,-1,-1
0000000000000002 1 10.0.0.3 45024 10.0.0.7 5201,1599139007,0000000000000002,10.0.0.3,45024,10.0.0.7,5201,6,-1,-1
0000000000000002 2 10.0.0.7 5201 10.0.0.3 45024,1599139007,0000000000000002,10.0.0.7,5201,10.0.0.3,45024,6,-1,-1
0000000000000001 6 10.0.0.7 5201 10.0.0.3 45024,1599139007,0000000000000001,10.0.0.7,5201,10.0.0.3,45024,6,-1,-1
0000000000000002 2 10.0.0.7 5201 10.0.0.3 45024,1599139007,0000000000000002,10.0.0.7,5201,10.0.0.3,45024,6,-1,-1
0000000000000001 1 10.0.0.2 38672 10.0.0.7 5201,1599139007,0000000000000001,10.0.0.2,38672,10.0.0.7,5201,6,-1,-1
0000000000000002 1 10.0.0.2 38672 10.0.0.7 5201,1599139007,0000000000000002,10.0.0.2,38672,10.0.0.7,5201,6,-1,-1
0000000000000002 2 10.0.0.7 5201 10.0.0.2 38672,1599139007,0000000000000002,10.0.0.7,5201,10.0.0.2,38672,6,-1,-1
0000000000000001 6 10.0.0.7 5201 10.0.0.2 38672,1599139007,0000000000000001,10.0.0.7,5201,10.0.0.2,38672,6,-1,-1
0000000000000001 3 10.0.0.4 39788 10.0.0.7 5201,1599139007,0000000000000001,10.0.0.4,39788,10.0.0.7,5201,6,-1,-1
0000000000000002 1 10.0.0.4 39788 10.0.0.7 5201,1599139007,0000000000000002,10.0.0.4,39788,10.0.0.7,5201,6,-1,-1
0000000000000002 2 10.0.0.7 5201 10.0.0.4 39788,1599139007,0000000000000002,10.0.0.7,5201,10.0.0.4,39788,6,-1,-1
0000000000000001 6 10.0.0.7 5201 10.0.0.4 39788,1599139007,0000000000000001,10.0.0.7,5201,10.0.0.4,39788,6,-1,-1
0000000000000001 2 10.0.0.3 45030 10.0.0.7 5201,1599139027,0000000000000001,10.0.0.3,45030,10.0.0.7,5201,6,-1,-1
0000000000000002 1 10.0.0.3 45030 10.0.0.7 5201,1599139027,0000000000000002,10.0.0.3,45030,10.0.0.7,5201,6,-1,-1
0000000000000002 2 10.0.0.7 5201 10.0.0.3 45030,1599139027,0000000000000002,10.0.0.7,5201,10.0.0.3,45030,6,-1,-1
0000000000000001 6 10.0.0.7 5201 10.0.0.3 45030,1599139027,0000000000000001,10.0.0.7,5201,10.0.0.3,45030,6,-1,-1
0000000000000001 6 10.0.0.7 5201 10.0.0.3 45030,1599139027,0000000000000001,10.0.0.7,5201,10.0.0.3,45030,6,-1,-1
0000000000000001 1 10.0.0.2 38678 10.0.0.7 5201,1599139027,0000000000000001,10.0.0.2,38678,10.0.0.7,5201,6,-1,-1
0000000000000002 1 10.0.0.2 38678 10.0.0.7 5201,1599139027,0000000000000002,10.0.0.2,38678,10.0.0.7,5201,6,-1,-1
0000000000000002 2 10.0.0.7 5201 10.0.0.2 38678,1599139027,0000000000000002,10.0.0.7,5201,10.0.0.2,38678,6,-1,-1
0000000000000001 6 10.0.0.7 5201 10.0.0.2 38678,1599139027,0000000000000001,10.0.0.7,5201,10.0.0.2,38678,6,-1,-1
0000000000000001 3 10.0.0.4 39794 10.0.0.7 5201,1599139028,0000000000000001,10.0.0.4,39794,10.0.0.7,5201,6,-1,-1
0000000000000002 1 10.0.0.4 39794 10.0.0.7 5201,1599139028,0000000000000002,10.0.0.4,39794,10.0.0.7,5201,6,-1,-1
0000000000000002 2 10.0.0.7 5201 10.0.0.4 39794,1599139028,0000000000000002,10.0.0.7,5201,10.0.0.4,39794,6,-1,-1
0000000000000001 6 10.0.0.7 5201 10.0.0.4 39794,1599139028,0000000000000001,10.0.0.7,5201,10.0.0.4,39794,6,-1,-1
0000000000000001 6 10.0.0.7 5201 10.0.0.4 39794,1599139028,0000000000000001,10.0.0.7,5201,10.0.0.4,39794,6,-1,-1
0000000000000001 2 10.0.0.3 45036 10.0.0.7 5201,1599139047,0000000000000001,10.0.0.3,45036,10.0.0.7,5201,6,-1,-1
0000000000000002 1 10.0.0.3 45036 10.0.0.7 5201,1599139047,0000000000000002,10.0.0.3,45036,10.0.0.7,5201,6,-1,-1
0000000000000002 2 10.0.0.7 5201 10.0.0.3 45036,1599139047,0000000000000002,10.0.0.7,5201,10.0.0.3,45036,6,-1,-1
0000000000000001 6 10.0.0.7 5201 10.0.0.3 45036,1599139047,0000000000000001,10.0.0.7,5201,10.0.0.3,45036,6,-1,-1
0000000000000001 6 10.0.0.7 5201 10.0.0.3 45036,1599139047,0000000000000001,10.0.0.7,5201,10.0.0.3,45036,6,-1,-1
0000000000000001 1 10.0.0.2 38684 10.0.0.7 5201,1599139047,0000000000000001,10.0.0.2,38684,10.0.0.7,5201,6,-1,-1
